id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,coordinate_type
716948075292779634,24517230,Parthum Wan,13.74954,100.52073,Private room,1414,1,0,,0.0,7,339,individual
716950913671434204,20133201,Ratchathewi,13.751,100.5547,Entire home/apt,1441,2,2,2022-12-07,0.7,33,357,individual
716951858376919087,178564839,Vadhana,13.74703,100.55521,Entire home/apt,5460,1,4,2022-12-20,3.24,35,40,individual
716953133542766655,20133201,Ratchathewi,13.75147,100.55482,Entire home/apt,1441,2,1,2022-12-07,1.0,33,357,individual
716962118325287897,24517230,Parthum Wan,13.75087,100.5212,Private room,1414,1,1,2022-09-28,0.33,7,310,individual
716970687266752064,178564839,Khlong Toei,13.7241,100.56603,Entire home/apt,2210,2,6,2022-12-23,2.12,35,80,individual
716983710845887576,178564839,Khlong Toei,13.72511,100.56602,Entire home/apt,4786,2,12,2022-12-19,3.79,35,85,individual
717001924652991170,434168399,Vadhana,13.736,100.58001,Entire home/apt,6707,1,0,,0.0,44,362,individual
717010893404805619,434168399,Vadhana,13.73807,100.57976,Entire home/apt,13607,1,0,,0.0,44,365,individual
717032489389185282,434168399,Vadhana,13.73798,100.59736,Entire home/apt,5836,1,1,2022-10-29,0.49,44,365,individual
717042181450822204,312545246,Vadhana,13.73845,100.56755,Entire home/apt,6737,3,13,2022-12-17,4.02,49,63,individual
717055166181117100,312545246,Vadhana,13.73849,100.56547,Entire home/apt,6666,3,8,2022-12-24,2.76,49,69,individual
717069204956920428,312545246,Vadhana,13.73994,100.56552,Entire home/apt,3168,3,11,2022-12-06,3.67,49,65,individual
717077709349017688,312545246,Vadhana,13.74018,100.56621,Entire home/apt,3168,3,8,2022-12-19,2.73,49,57,individual
717085383289420707,312545246,Vadhana,13.7394,100.56555,Entire home/apt,3541,3,5,2022-12-06,2.14,49,65,individual
717100189158163926,250280702,Lat Phrao,13.80452,100.5972,Private room,1004,1,0,,0.0,1,365,individual
717139820164404864,26620868,Huai Khwang,13.76147,100.56782,Entire home/apt,2380,2,0,,0.0,34,0,individual
717621556287234428,119203329,Huai Khwang,13.75472,100.57125,Entire home/apt,1523,1,4,2022-11-28,1.36,20,84,individual
717646783395265011,474579881,Khlong Toei,13.71048,100.59427,Private room,600,1,7,2022-11-17,2.16,1,365,individual
727302855135555813,123828822,Sathon,13.71866,100.53069,Entire home/apt,1700,4,4,2022-11-28,1.35,22,134,individual
727353725720394980,480415786,Bang Rak,13.7318194,100.5261202,Entire home/apt,2032,10,3,2022-11-10,1.2,9,140,multi_listing_same_host
727357380511583578,480415786,Bang Rak,13.7318194,100.5261202,Entire home/apt,2046,10,2,2022-11-12,0.75,9,143,multi_listing_same_host
727360009312850903,480415786,Bang Rak,13.7318194,100.5261202,Entire home/apt,2009,10,4,2022-11-02,1.52,9,176,multi_listing_same_host
727363160560898407,480415786,Bang Rak,13.7318194,100.5261202,Entire home/apt,1999,10,2,2022-11-10,0.94,9,176,multi_listing_same_host
727382104526265611,18699637,Khlong Toei,13.7348564,100.5579603,Entire home/apt,1586,1,9,2022-12-11,3.18,29,215,multi_host_building
727398854019478936,8862925,Khlong San,13.721512570687198,100.50147257745266,Entire home/apt,3000,30,0,,0.0,2,83,individual
727424449744957681,35082871,Khlong Toei,13.727410368112562,100.56128711311544,Entire home/apt,7343,2,4,2022-12-13,2.61,33,344,individual
727660598864653884,38033867,Parthum Wan,13.73896,100.54025,Entire home/apt,1000,28,0,,0.0,1,347,individual
727696978053290072,23876548,Sathon,13.71812,100.51764,Private room,690,1,7,2022-11-27,2.73,9,352,individual
727806915338990352,28249813,Chatu Chak,13.80839,100.57544,Private room,1849,2,6,2022-12-23,4.0,2,353,individual
727867717758838526,402093105,Huai Khwang,13.75631,100.56846,Entire home/apt,1375,15,5,2022-12-23,2.03,45,243,individual
728034854080842635,221642164,Vadhana,13.73646,100.56652,Entire home/apt,2454,3,2,2022-10-22,0.74,21,127,individual
728049440899047795,108430540,Din Daeng,13.79532,100.56904,Entire home/apt,2057,2,20,2022-12-23,8.57,1,112,individual
728102310384645212,272914856,Khlong Toei,13.73417,100.564,Entire home/apt,2243,3,9,2022-12-25,3.86,6,22,individual
728158868443303869,432983998,Bang Khae,13.709938079189625,100.40935140932967,Entire home/apt,600,28,1,2022-12-06,1.0,1,313,individual
728159260480975036,34610247,Chatu Chak,13.79704940730068,100.55966641160887,Entire home/apt,680,7,3,2022-11-20,1.27,1,222,individual
728159587923576293,7454779,Sathon,13.72143,100.5463,Private room,1180,3,1,2022-12-01,1.0,7,82,individual
728515858551120640,112414885,Khlong Toei,13.73726,100.55424,Entire home/apt,1000,1,3,2022-11-08,1.2,7,319,individual
728541020694804781,9550104,Bang Na,13.66388,100.65111,Entire home/apt,1200,7,0,,0.0,13,317,individual
722111467436716893,111844630,Khlong Toei,13.72347,100.56581,Entire home/apt,2963,21,1,2022-10-24,0.45,16,181,individual
722127578976737365,268046710,Vadhana,13.74021,100.56551,Entire home/apt,2571,7,1,2022-11-22,0.81,13,153,individual
722138485277990606,235135484,Sathon,13.70987,100.51952,Entire home/apt,1010,1,8,2022-12-14,2.86,21,44,individual
722184755946943991,201677068,Bang Phlat,13.7892,100.5026,Entire home/apt,738,15,0,,0.0,228,159,individual
722187986136394682,480684535,Din Daeng,13.784438602887429,100.57251155376434,Private room,1199,1,0,,0.0,1,365,individual
722206783480915775,480415786,Khlong Toei,13.73456,100.55678,Entire home/apt,1863,1,1,2022-11-09,0.6,9,362,individual
722225983062990258,347302995,Ratchathewi,13.75508,100.56413,Entire home/apt,1685,7,0,,0.0,39,356,individual
732308333038137169,149897292,Ratchathewi,13.74933869168742,100.54359420794393,Entire home/apt,1450,30,0,,0.0,9,365,individual
732318392032779643,123828822,Phaya Thai,13.79295,100.54592,Entire home/apt,2914,3,3,2022-12-06,1.1,22,154,individual
732354175430576170,149897292,Ratchathewi,13.749553224041565,100.54389070000003,Entire home/apt,1450,30,0,,0.0,9,40,individual
732354506995325672,235135484,Khlong Toei,13.73431,100.55702,Entire home/apt,1586,1,14,2022-12-10,5.53,21,26,individual
722881865414255273,40478099,Pra Wet,13.7143354,100.6909163,Private room,650,1,0,,0.0,1,365,individual
732393259208448225,316738753,Huai Khwang,13.777588388276722,100.57432423862303,Entire home/apt,1813,3,1,2022-10-21,0.43,5,340,individual
722883254802489360,473454250,Huai Khwang,13.75411,100.56889,Entire home/apt,4786,35,3,2022-11-26,1.07,9,88,individual
732405381262033258,134974883,Huai Khwang,13.752344057767669,100.56788704607422,Entire home/apt,1100,20,1,2022-11-18,0.73,8,324,individual
722908063088255025,480534455,Ratchathewi,13.75383,100.5622,Entire home/apt,1485,7,0,,0.0,14,340,individual
732537267465743575,62256771,Vadhana,13.74238,100.55726,Entire home/apt,1737,5,4,2022-11-17,1.9,28,148,individual
732592391410942137,62256771,Vadhana,13.74418,100.55553,Entire home/apt,1734,5,5,2022-11-30,2.08,28,168,individual
722909964904156833,270215556,Huai Khwang,13.757117742106836,100.56810006190187,Entire home/apt,3571,1,5,2022-11-05,1.63,28,363,individual
722910615816299414,480234279,Huai Khwang,13.77577,100.57552,Private room,778,1,0,,0.0,2,149,individual
